Pit,Species,seed_trt,pit_trt,total_g,g_m2,status,func_group
140,LAOC,bare seeds,pit,0.0434,1.085,Weedy/non-native species,non-native forb
140,PLJA,bare seeds,pit,0.1608,4.02,Native seeded species,C4 grass
140,SATR,bare seeds,pit,0.2393,5.9825,Weedy/non-native species,non-native forb
141,SATR,not seeded,pit,0.3167,7.9175,Weedy/non-native species,non-native forb
142,SATR,seed pellet,pit,0.1113,2.7825,Weedy/non-native species,non-native forb
143,ATCA,not seeded,pit + biochar,0.9222,23.055,Weedy/non-native species,shrub
143,SATR,not seeded,pit + biochar,0.5322,13.305,Weedy/non-native species,non-native forb
144,ACHY,seed pellet,pit + biochar,0.0196,0.49,Native seeded species,C3 grass
144,PLJA,seed pellet,pit + biochar,0.1114,2.785,Native seeded species,C4 grass
144,SATR,seed pellet,pit + biochar,0.2377,5.9425,Weedy/non-native species,non-native forb
145,PLJA,seed pellet,pit,0.0685,1.7125,Native seeded species,C4 grass
145,SATR,seed pellet,pit,0.1458,3.645,Weedy/non-native species,non-native forb
146,SATR,not seeded,pit + biochar,0.4491,11.2275,Weedy/non-native species,non-native forb
147,ACHY,bare seeds,pit + biochar,0.0143,0.3575,Native seeded species,C3 grass
147,SATR,bare seeds,pit + biochar,0.2395,5.9875,Weedy/non-native species,non-native forb
148,SATR,not seeded,pit,0.5223,13.0575,Weedy/non-native species,non-native forb
149,ACHY,seed pellet,pit + biochar,0.0039,0.0975,Native seeded species,C3 grass
149,SATR,seed pellet,pit + biochar,0.5123,12.8075,Weedy/non-native species,non-native forb
149,SPCR,seed pellet,pit + biochar,0.2103,5.2575,Native seeded species,C4 grass
150,ACHY,bare seeds,pit,0.0167,0.4175,Native seeded species,C3 grass
150,PLJA,bare seeds,pit,0.0486,1.215,Native seeded species,C4 grass
150,SATR,bare seeds,pit,0.4258,10.645,Weedy/non-native species,non-native forb
